YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,9,22,2,MQ,3580,N697MQ,JFK,BNA,1459,1558,59,25,1623,165,140,110,765,1713,5,1644,1718,34,0,0,,0,0,0,34,0,60,70,0.0,9.0,10.0,51,81,0.0,4.5,10.0
2015,6,2,2,MQ,3162,N523MQ,ORD,BNA,845,855,10,16,911,90,81,61,409,1012,4,1015,1016,1,0,0,,,,,,,45,60,0.0,4.625,10.0,58,73,0.0,3.25,5.5
2015,4,5,7,WN,3943,N430WN,BNA,BWI,2115,2153,38,6,2159,95,86,77,587,16,3,2350,19,29,0,0,,0,0,0,29,0,37,66,0.0,5.75,10.0,32,32,0.0,12.125,10.0
2015,4,9,4,WN,4834,N497WN,PNS,BNA,1840,1833,-7,8,1841,80,74,60,391,1941,6,2000,1947,-13,0,0,,,,,,,68,80,0.0,6.75,6.25,68,78,0.0,9.875,8.0
2015,11,19,4,WN,1136,N950WN,BNA,TPA,1935,1952,17,9,2001,100,95,83,612,2224,3,2215,2227,12,0,0,,,,,,,46,63,0.0,5.0,6.25,74,82,0.0,7.0,8.75
2015,12,4,5,WN,2311,N8630B,LAS,BNA,900,854,-6,18,912,210,202,178,1587,1410,6,1430,1416,-14,0,0,,,,,,,42,54,0.0,2.25,10.0,30,51,0.0,4.0,9.0
2015,4,1,3,EV,5940,N15985,ORD,BNA,715,801,46,13,814,92,73,55,409,909,5,847,914,27,0,0,,23,0,0,4,0,40,61,0.0,12.25,10.0,48,70,0.0,5.125,7.75
2015,9,13,7,MQ,3152,N0EGMQ,BNA,ORD,1543,1534,-9,13,1547,105,88,69,409,1656,6,1728,1702,-26,0,0,,,,,,,49,73,0.0,4.0,9.0,54,68,0.0,8.625,10.0
2015,6,22,1,WN,717,N7735A,BWI,BNA,2050,2121,31,10,2131,110,105,79,587,2150,16,2140,2206,26,0,0,,0,0,0,26,0,32,32,0.0,6.0,10.0,72,94,0.0,4.75,7.75
2015,6,5,5,WN,554,N608SW,RDU,BNA,1130,1127,-3,8,1135,90,81,67,442,1142,6,1200,1148,-12,0,0,,,,,,,70,82,0.0,3.25,5.375,59,86,0.0,3.625,9.0
