YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,7,17,5,WN,4203,N608SW,BNA,DAL,2110,2146,36,10,2156,110,104,87,623,2323,7,2300,2330,30,0,0,,0,0,0,30,0,70,95,0.0,4.75,9.875,77,97,0.0,10.375,10.0
2015,1,4,7,EV,5967,N16183,BNA,DEN,1602,1607,5,17,1624,192,212,176,1014,1820,19,1814,1839,25,0,0,,20,0,5,0,0,32,61,0.0,12.875,6.625,1,31,0.0,5.75,10.0
2015,12,7,1,WN,1175,N402WN,TPA,BNA,950,1028,38,8,1036,110,100,87,612,1103,5,1040,1108,28,0,0,,0,0,0,28,0,61,72,0.0,9.875,10.0,43,55,0.0,4.0,5.75
2015,11,22,7,WN,1949,N8663A,BNA,PHX,1510,1508,-2,11,1519,245,218,202,1449,1741,5,1815,1746,-29,0,0,,,,,,,27,40,0.0,4.625,9.875,56,76,0.0,6.375,10.0
2015,9,26,6,AA,1439,N3CAAA,DFW,BNA,1500,1811,191,16,1827,110,106,81,631,1948,9,1650,1957,187,0,0,,0,0,187,0,0,68,89,0.0,6.25,10.0,60,71,0.0,4.5,4.75
2015,1,23,5,OO,4580,N807SK,BNA,MSP,800,754,-6,22,816,144,129,100,695,956,7,1024,1003,-21,0,0,,,,,,,34,36,0.0,5.625,4.5,26,34,0.0,12.25,9.0
2015,7,3,5,WN,103,N8617E,BNA,LAS,1715,1947,152,7,1954,235,219,208,1587,2122,4,1910,2126,136,0,0,,0,0,130,6,0,68,81,0.0,6.375,6.5,83,99,0.0,5.5,10.0
2015,2,13,5,WN,4817,N685SW,BNA,PHL,1000,959,-1,10,1009,115,110,96,675,1245,4,1255,1249,-6,0,0,,,,,,,19,37,0.0,3.25,10.0,32,32,0.0,12.25,10.0
2015,1,23,5,WN,1697,N207WN,BNA,CLE,1950,2021,31,16,2037,85,85,63,448,2240,6,2215,2246,31,0,0,,31,0,0,0,0,34,36,0.0,5.625,4.5,20,30,0.0,5.25,5.0
2015,6,27,6,MQ,3296,N506MQ,BNA,ORD,600,557,-3,15,612,107,94,68,409,720,11,747,731,-16,0,0,,,,,,,65,78,0.0,6.25,7.5,60,67,0.0,10.0,10.0
