YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,11,21,6,EV,4109,N16183,BNA,IAH,morning,814,on_time,15,829,141,133,111,short,1020,7,1041,1027,-14,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,13,2,EV,3928,N15574,EWR,BNA,afternoon,1227,on_time,10,1237,151,151,130,short,1347,11,1401,1358,-3,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,8,17,1,AA,2242,N467AA,BNA,DFW,afternoon,1554,on_time,12,1606,119,116,90,short,1736,14,1759,1750,-9,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,medium_visibility,not_freezing,hot,no_snow,low_wind,high_visibility
2015,9,26,6,OO,4513,N821SK,MSP,BNA,afternoon,1733,on_time,20,1753,123,120,94,short,1927,6,1930,1933,3,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,medium_visibility
2015,12,6,7,AA,1922,N701UW,BNA,CLT,evening,1916,on_time,18,1934,75,75,50,short,2124,7,2135,2131,-4,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,6,2,2,WN,3927,N8620H,DTW,BNA,morning,620,on_time,17,637,100,94,72,short,649,5,700,654,-6,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,21,6,AA,1497,N470AA,DFW,BNA,afternoon,1547,on_time,11,1558,100,97,80,short,1718,6,1725,1724,-1,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,4,27,1,WN,123,N8316H,BNA,DTW,evening,2106,on_time,11,2117,90,88,72,short,2329,5,2340,2334,-6,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,5,8,5,WN,909,N669SW,BNA,TPA,morning,745,on_time,10,755,100,97,82,short,1017,5,1030,1022,-8,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,7,21,2,EV,5554,N710EV,BNA,LGA,morning,953,on_time,13,1006,130,134,106,short,1252,15,1308,1307,-1,0,0,,,,,,,not_freezing,hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,23,1,EV,4870,N713EV,DTW,BNA,afternoon,1211,on_time,20,1231,108,95,71,short,1242,4,1304,1246,-18,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,snow,low_wind,high_visibility
2015,8,8,6,WN,2008,N605SW,BNA,BWI,afternoon,1516,on_time,8,1524,100,97,83,short,1747,6,1750,1753,3,0,0,,,,,,,not_freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,11,27,5,MQ,3152,N543MQ,ORD,BNA,afternoon,1323,on_time,15,1338,86,79,59,short,1437,5,1451,1442,-9,0,0,,,,,,,not_freezing,not_hot,no_snow,high_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
2015,12,28,1,AA,2090,N818AW,LAX,BNA,morning,947,delayed,14,1001,240,222,203,long,1524,5,1515,1529,14,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,1,4,7,WN,1458,N8645A,LAX,BNA,afternoon,1331,delayed,10,1341,230,236,206,long,1907,20,1810,1927,77,0,0,,6,0,12,59,0,freezing,not_hot,no_snow,low_wind,high_visibility,freezing,not_hot,no_snow,low_wind,high_visibility
2015,2,5,4,WN,4569,N483WN,BNA,JAX,evening,1809,on_time,10,1819,85,77,60,short,2019,7,2025,2026,1,0,0,,,,,,,freezing,not_hot,no_snow,low_wind,high_visibility,not_freezing,not_hot,no_snow,low_wind,high_visibility
