YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_MIN_TEMPERATURE,ORIGIN_MAX_TEMPERATURE,ORIGIN_SNOW_CM,ORIGIN_AVG_WIND,ORIGIN_AVG_VISIBILITY,DESTINATION_MIN_TEMPERATURE,DESTINATION_MAX_TEMPERATURE,DESTINATION_SNOW_CM,DESTINATION_AVG_WIND,DESTINATION_AVG_VISIBILITY
2015,3,28,6,EV,4097,N14203,IAH,BNA,1257,1256,-1,13,1309,111,108,91,657,1440,4,1448,1444,-4,0,0,,,,,,,32,32,0.0,7.625,10.0,27,45,0.0,4.5,10.0
2015,12,27,7,WN,145,N929WN,BNA,BWI,555,551,-4,10,601,100,95,79,587,820,6,835,826,-9,0,0,,,,,,,61,70,0.0,7.125,5.25,32,32,0.0,11.25,9.0
2015,5,17,7,WN,3993,N358SW,PIT,BNA,715,709,-6,7,716,95,82,70,462,726,5,750,731,-19,0,0,,,,,,,64,80,0.0,4.375,6.75,68,80,0.0,6.375,7.0
2015,12,2,3,WN,2131,N960WN,BNA,TPA,1345,1415,30,7,1422,100,104,90,612,1652,7,1625,1659,34,0,0,,4,0,0,30,0,39,51,0.0,5.875,6.5,71,81,0.0,7.125,9.875
2015,9,9,3,WN,927,N7745A,TPA,BNA,935,933,-2,8,941,105,99,86,612,1007,5,1020,1012,-8,0,0,,,,,,,79,90,0.0,4.25,9.875,69,92,0.0,2.5,6.75
2015,11,30,1,WN,2598,N202WN,BNA,MDW,925,926,1,7,933,90,77,66,395,1039,4,1055,1043,-12,0,0,,,,,,,50,60,0.0,3.0,2.875,38,45,0.0,13.375,9.875
2015,3,19,4,WN,178,N935WN,CMH,BNA,1810,1806,-4,7,1813,75,73,60,337,1813,6,1825,1819,-6,0,0,,,,,,,34,51,0.0,7.75,9.75,43,52,0.0,4.125,5.25
2015,12,6,7,WN,2167,N943WN,BNA,DCA,1305,1307,2,12,1319,95,87,70,562,1529,5,1540,1534,-6,0,0,,,,,,,34,54,0.0,3.75,9.0,32,52,0.0,2.75,10.0
2015,6,25,4,WN,604,N8661A,BNA,FLL,800,756,-4,10,806,135,124,103,793,1049,11,1115,1100,-15,0,0,,,,,,,65,96,0.0,3.125,10.0,32,32,0.0,6.375,9.625
2015,6,27,6,WN,1715,N917WN,BNA,MCI,1730,1742,12,10,1752,90,90,75,491,1907,5,1900,1912,12,0,0,,,,,,,65,78,0.0,6.25,7.5,62,80,0.0,5.0,10.0
2015,2,13,5,MQ,3167,N815MQ,BNA,LGA,555,550,-5,33,623,137,158,117,764,920,8,912,928,16,0,0,,16,0,0,0,0,19,37,0.0,3.25,10.0,7,17,0.0,14.875,9.625
2015,9,22,2,WN,3077,N563WN,BNA,DAL,710,705,-5,11,716,120,100,85,623,841,4,910,845,-25,0,0,,,,,,,51,81,0.0,4.5,10.0,74,91,0.0,6.75,9.75
2015,4,30,4,WN,4906,N250WN,MDW,BNA,2115,2112,-3,7,2119,85,64,52,395,2211,5,2240,2216,-24,0,0,,,,,,,41,44,0.0,12.125,10.0,48,65,0.0,4.75,9.875
2015,1,26,1,WN,431,N7727A,BNA,TPA,1810,1805,-5,22,1827,105,103,76,612,2043,5,2055,2048,-7,0,0,,,,,,,32,41,0.2,7.625,9.375,56,64,0.0,16.375,9.875
2015,4,14,2,WN,853,N235WN,BNA,MCO,545,544,-1,16,600,105,108,86,616,826,6,830,832,2,0,0,,,,,,,53,68,0.0,8.375,9.375,32,32,0.0,6.625,9.625
2015,6,2,2,WN,3842,N7728D,BNA,RDU,1425,1425,0,6,1431,85,76,67,442,1638,3,1650,1641,-9,0,0,,,,,,,58,73,0.0,3.25,5.5,70,85,0.0,3.625,7.5
2015,5,8,5,WN,909,N669SW,BNA,TPA,750,745,-5,10,755,100,97,82,612,1017,5,1030,1022,-8,0,0,,,,,,,59,86,0.0,4.0,10.0,68,85,0.0,6.125,10.0
2015,7,17,5,WN,4597,N487WN,BNA,MDW,615,613,-2,12,625,90,109,69,395,734,28,745,802,17,0,0,,17,0,0,0,0,70,95,0.0,4.75,9.875,69,82,0.0,8.625,9.125
2015,3,29,7,WN,121,N7811F,BNA,DAL,2000,2018,18,9,2027,120,107,90,623,2157,8,2200,2205,5,0,0,,,,,,,28,60,0.0,7.125,10.0,54,81,0.0,12.125,10.0
2015,4,29,3,WN,3769,N766SW,LAX,BNA,1510,1532,22,8,1540,240,238,225,1797,2125,5,2110,2130,20,0,0,,0,0,6,14,0,32,32,0.0,4.0,10.0,45,69,0.0,4.375,10.0
